Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1839.1432640071507
FDW14,OUT017,1520.1369452619092
NCN55,OUT010,1882.5909570674057
FDQ58,OUT017,2577.602595674029
FDY38,OUT027,5129.053731857848
FDH56,OUT046,1952.476216261979
FDL48,OUT018,596.6755444852827
FDC48,OUT027,2782.7272370454325
FDN33,OUT045,1490.1040234742882
FDA36,OUT017,3088.169268526475
FDT44,OUT017,2021.7280350422984
FDQ56,OUT045,1332.9743544771545
NCC54,OUT019,1870.125383821819
FDU11,OUT049,2054.640528087926
DRL59,OUT013,912.0205745574199
FDM24,OUT049,2551.939147844733
FDI57,OUT045,3270.427096782021
DRC12,OUT018,2753.408315408853
NCM42,OUT027,3185.433064603706
FDA46,OUT010,1115.2053869865815
FDA31,OUT013,2827.7910987610826
NCJ31,OUT035,3879.8690257807434
FDG52,OUT046,771.7685354156106
NCL19,OUT019,374.63102413543413
FDS10,OUT035,3012.302786976917
FDX22,OUT010,1449.9951265523691
NCF19,OUT035,911.645967010588
NCE06,OUT046,2522.086881963437
DRC27,OUT046,3862.5492810503097
FDE21,OUT035,2057.1271743954658
NCR42,OUT019,-1372.084236393699
FDX51,OUT018,2868.2293688254194
NCR06,OUT018,417.7147092038224
FDU31,OUT027,4979.847215748263
FDU59,OUT017,2713.9896097157157
FDR03,OUT027,4757.946821029758
FDS49,OUT027,2778.4427853545553
FDD48,OUT010,-70.31821667140616
NCF18,OUT017,3106.82442058834
NCD43,OUT027,3091.312134650261
NCD54,OUT018,1983.7753333342503
FDY19,OUT010,-4.9868316400049935
NCY54,OUT017,2795.797399319737
NCL19,OUT018,2027.739819144139
FDP23,OUT010,1539.0724808983418
FDC26,OUT013,1841.273514375168
FDR14,OUT010,-1098.623289783739
NCS41,OUT035,3047.210083006081
FDF41,OUT035,4016.0317371293518
FDU34,OUT046,1987.2997526671002
DRH11,OUT046,942.5028440999517
FDM03,OUT013,1730.5385881415368
FDS31,OUT017,3057.3637596710437
FDJ20,OUT017,2127.2808450151024
FDV44,OUT027,4523.222036257881
FDG02,OUT049,3134.675211294211
FDA09,OUT013,2934.9639128653753
FDT04,OUT013,644.686713779133
FDL58,OUT019,2277.7734798243796
FDE52,OUT045,1392.786699535387
FDW12,OUT035,2506.4933719988753
FDL51,OUT017,3506.12296962329
NCY42,OUT027,3682.251672138135
FDR07,OUT017,1694.3870176795122
FDN40,OUT045,2329.0754366441925
FDB35,OUT027,2976.4506372965766
FDA22,OUT017,2757.0578571198143
NCL06,OUT046,4103.824960232734
FDI35,OUT013,2937.720064563914
NCW42,OUT045,3401.153553708159
NCX06,OUT049,2933.757653771745
FDC37,OUT027,3200.6525016459314
FDZ14,OUT018,1681.1206734701018
DRG49,OUT049,3943.937465405784
NCG06,OUT045,3948.7255264760392
DRC36,OUT045,2712.6821606919107
FDV21,OUT019,30.540570857386
FDB53,OUT046,2320.6183124874487
DRP47,OUT019,2045.7040422939654
FDA14,OUT013,2297.9056432240404
DRC24,OUT035,2563.5727572807705
FDW21,OUT018,1393.5178184104584
NCH29,OUT046,1571.3031450771077
FDU58,OUT013,3066.2319335222664
FDY27,OUT017,2885.8537698548134
FDV56,OUT035,1984.2403355440665
